Cruise	Station	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Sea pressure [decibar]	QV:ARGO	Practical salinity [psu]	QV:ARGO	Sea temperature [degree_Celsius]	QV:ARGO
					388	1	35.593	1	11.501	1
					1938	1	35.053	1	4.27	1
					105	1	35.558	1	12.156	1
					788	1	35.675	1	10.458	1
					1438	1	35.38	1	6.816	1
					438	1	35.591	1	11.39	1
					513	1	35.594	1	11.215	1
					1538	1	35.283	1	6.133	1
					338	1	35.595	1	11.567	1
					1888	1	35.066	1	4.4	1
					185	1	35.59	1	11.848	1
					66	1	35.475	1	13.55	1
					175	1	35.588	1	11.867	1
					1738	1	35.142	1	5.042	1
					1588	1	35.262	1	5.948	1
					1638	1	35.229	1	5.704	1
					1163	1	35.704	1	9.07	1
					1988	1	35.04	1	4.129	1
					313	1	35.598	1	11.621	1
					1038	1	35.743	1	9.668	1
					6	1	35.448	1	13.975	1
					738	1	35.658	1	10.609	1
					1213	1	35.656	1	8.701	1
					638	1	35.623	1	10.838	1
					563	1	35.603	1	11.101	1
					463	1	35.59	1	11.329	1
					1863	1	35.073	1	4.472	1
					1763	1	35.121	1	4.873	1
					166	1	35.587	1	11.882	1
					96	1	35.543	1	12.322	1
					964	1	35.757	1	10.002	1
					13	1	35.447	1	13.974	1
					12	1	35.447	1	13.974	1
					15	1	35.448	1	13.981	1
					14	1	35.447	1	13.981	1
					17	1	35.448	1	13.981	1
					16	1	35.448	1	13.981	1
					19	1	35.447	1	13.98	1
					1187	1	35.682	1	8.899	1
					863	1	35.727	1	10.221	1
					1513	1	35.303	1	6.272	1
					156	1	35.585	1	11.912	1
					888	1	35.736	1	10.181	1
					238	1	35.597	1	11.777	1
					35	1	35.448	1	13.988	1
					1813	1	35.095	1	4.668	1
					45	1	35.447	1	13.99	1
					1613	1	35.244	1	5.827	1
					1963	1	35.047	1	4.2	1
					1113	1	35.722	1	9.329	1
					9	1	35.448	1	13.976	1
					1563	1	35.273	1	6.048	1
					688	1	35.634	1	10.727	1
					145	1	35.581	1	11.953	1
					613	1	35.614	1	10.921	1
					75	1	35.5	1	13.016	1
					488	1	35.592	1	11.274	1
					1288	1	35.552	1	7.981	1
					1363	1	35.443	1	7.239	1
					2005	1	35.036	1	4.086	1
					1688	1	35.184	1	5.371	1
5903388	42669307	2016-01-04T23:33:30Z	-9.804	47.711	600.1	1	35.571	1	10.847	1
					1699.9	1	35.013	1	4.362	1
					138.4	1	35.609	1	11.974	1
					80.2	1	35.561	1	12.716	1
